,name,short_name,mnemnoic,category,sector,second_sector,org_id
256,fisher house foundation,fisher house foundation,,"ngo, state local",philanthopy,,53bCfd4a7kGA
257,fistergregor,fistergregor,,consulting,other,,5CQXWsp29V3c
258,fletcher school,fletcher school,,university,education,,3xeSTe7dLX3b
259,flight 93 memorial foundation,,,ngo,philanthropy,,7RAeqZBTRN58
260,florida veterans association,florida veterans association,,association,other,,5kVL93xSpbjX
261,force protection,force protection,,manufacturing,defense,,4VLXkzSVVCdW
262,forestek com,forestek com,,commercial,,,36tGX5LuyWEN
263,fork union,fork union,,education,education,,4avQQK2HJKxn
264,four star group,four star group,,lobbying,defense,,68dssKsmJm9T
265,fox news,fox news,,media,media,,5jxkgVC46N8R
266,foxhall capital management,foxhall capital management,,asset management,finance,,5L2MVVvCETVT
267,franks and associates,franks and associates,,consulting,other,,WrZ867a9SEw6
268,freddy e mcfarren,freddy e mcfarren,,consulting,other,,5BFZgjGxd4y8
269,freedom house,,,ngo international,other,national security,7MAawQEg2ptW
270,freelinc,freelinc,,manufacturing,telecommunication,technology,6d8sHc4ADJjz
271,frost and associates,frost and associates,,consulting,other,,5iuf8q8mnN6A
272,future technologies,future technologies,,contractor,defense,,6EPBYQBXmPHb
273,g. s. martin consulting,g. s. martin consulting,,consulting,other,,4nRPcyrVhSot
274,gandh enterprises,gandh enterprises,,commercial,,,MQ4NgCQk48Tr
275,gas appliance manufacturer's association,gas appliance manufacturer's association,,association,manufacturing,,NgzpcuGbMsxa
276,gate petroleum company,gate petroleum company,,commercial,retail,construction,6mbSP6eorSCx
277,general atomics,general atomics,,contractor,energy,,5Vr3FkEesgCv
278,general dynamics,general dynamics,,contractor,defense,,3Jd3vmLkabDp
279,general honore,general honore,,consulting,other,,7JvQmXUMbiXu
280,genex technologies,genex technologies,,commercial,technology,,3yHUTkdGh43E
281,georesource hawaii,georesource hawaii,,commercial,,,JVZEHRVvGLzc
282,george mason university,george mason university,,university,education,,Ex5VRLFSbJ2g
283,georgetown university,georgetown university,,university,education,,3Ef92GJSbk7L
284,global associates,global associates,,contractor,defense,,7Ev4vPpJqQGJ
285,global crossing ltd,global crossing ltd,,contractor,defense,,5uZ5tUJMKjh2
286,global logistics associates,global logistics associates,,association,transportation,,6oSLRcWQ3dKo
287,global panel foundation,global panel foundation,,ngo international,national security,,4Pt3qaPA75w7
288,global partnerships,global partnerships,,ngo local state,other,,7HMkFKrtcagJ
289,global payments,global payments,,commercial,finance,,8JEdDddCNjxg
290,global perspectives,global perspectives,,consulting,other,,Ast2fAGAUfg3
291,global security management,global security management,,consulting,other,defense,7MN3MpPoaQ75
292,globe secnine,,,,,,6rQ3gJBfkmAk
293,goldbelt wolf,,,,,,7m6FDP6u9B3f
294,goodrich corporation,goodrich corporation,,contractor,aerospace,defense,5wPRpXdEJgcV
295,"goodrich lighting systems, ghm",,,,,,659F9PJDfiUL
296,government services,government services,,commercial,,,4DPAv89njA7Z
297,gpu,gpu,,holding company,energy,,6KcXQBF46mR8
298,grant thornton llp,grant thornton llp,,consulting,other,,5mJtCHd7nBPr
299,grc international,grc international,,contractor,technology,,3c7LnbJUswS6
300,great western bancorporation,great western bancorporation,,bank,finance,,7oHTNSjRVPk5
301,greely pond technologies,greely pond technologies,,consulting,other,,StpxXGPtceTk
302,griffon corp,griffon corp,,holding company,other,,4EXgywhHpCF7
